id,Movie Name,Language,IMDb Rating,Year of Release,Maturity Rating,Minutes
155,Vaagai Sooda Vaa,Tamil,8.0,2011,All,125.0
157,Bal Ganesh (Gujarati),Gujarati,6.9,2007,All,102.0
158,Honeymoon Travels Pvt Ltd,Hindi,6.1,2007,13+,119.0
159,Dishoom,Hindi,5.1,2016,NR,121.0
163,Sharkwater Extinction,English,7.7,2019,16+,84.0
164,Generation Wealth,English,6.7,2018,18+,106.0
165,Aakrosh,Hindi,7.0,2010,18+,145.0
166,Zombieland: Double Tap,Telugu,6.7,2019,18+,99.0
171,Appetite for Destruction: The Palm Oil Diaries,English,5.3,2020,13+,60.0
172,King Solomon,Malayalam,6.8,1996,NR,147.0
173,Punnami Naagu,Telugu,7.2,1980,18+,130.0
174,Aurangzeb,Hindi,6.5,2013,16+,137.0
175,Nirbachana,English,6.0,1994,NR,102.0
176,Jaganmohini,Telugu,6.6,1978,All,146.0
177,American Hustle,English,7.2,2013,18+,138.0
178,The Pom Pom Girls,English,5.0,1976,18+,89.0
179,Vaai Kozhuppu,Tamil,3.6,1989,NR,137.0
180,Ae Dil Hai Mushkil,Hindi,5.8,2016,13+,155.0
182,Love 86,Hindi,5.7,1986,All,140.0
183,Barood,Bengali,6.0,2017,13+,142.0
186,Lego Marvel: Avengers Reassembled,English,6.2,2015,7+,22.0
187,Janta Hawaldar,Hindi,6.4,1979,NR,126.0
188,Thira,Malayalam,7.3,2013,All,109.0
190,Top Cat,Marathi,4.6,2012,13+,86.0
192,The Program,English,6.5,2015,18+,103.0
193,Golmaal Again,Hindi,5.0,2017,13+,144.0
194,Anukokunda Oka Roju,Telugu,8.0,2005,All,145.0
196,Tulkalam,Bengali,5.4,2017,13+,132.0
198,We Go Way Back,English,6.1,2006,NR,79.0
200,Dev Bhoomi - Land of the Gods,Hindi,7.5,2016,13+,92.0
201,Marjala,Kannada,3.5,1986,NR,132.0
202,Samadhan,Bengali,7.3,1979,NR,128.0
206,Bhikari,Marathi,6.0,2017,13+,123.0
207,Grace Of Monaco,English,5.7,2014,All,102.0
209,Ichak,Marathi,5.8,2017,All,104.0
210,The Ballad of Lefty Brown,English,6.3,2017,18+,111.0
211,Full 3 Dhamaal,Marathi,5.7,2008,All,110.0
213,Abhinandana,Telugu,7.5,1988,NR,130.0
214,Transformers: Revenge of the Fallen,English,6.0,2009,13+,149.0
215,Before I Wake,Hindi,6.2,2018,16+,93.0
216,BOSS 2,Bengali,5.0,2017,13+,145.0
219,Doorbeen,Punjabi,5.9,2019,13+,125.0
222,Daggaraga Duranga,Telugu,5.1,2011,13+,140.0
224,Ashdod Citadel,English,8.1,2020,13+,26.0
226,WRECKER (Driver from Hell),Hindi,3.4,2017,16+,73.0
228,Pyari Behna,Hindi,6.7,1985,NR,136.0
230,THE MAGIC OF HARRY POTTER,English,7.2,2000,All,40.0
231,Bad Boys II,Tamil,6.6,2003,13+,146.0
232,Wonder Woman (2017),English,7.4,2017,13+,141.0
233,Bandhuvulostunnaru Jagratha,Telugu,6.8,1989,All,120.0
234,Troop Zero,English,6.9,2020,7+,97.0
235,Cowgirls 'n Angels 2: Dakota's Summer,English,5.6,2014,13+,90.0
236,Around The World In 80 Days,English,5.9,2004,7+,119.0
237,Horns,English,6.5,2014,18+,115.0
238,Book of Shadows: The Blair Witch 2,English,4.0,2000,18+,90.0
239,Pokkiri Raja,Tamil,6.2,1982,All,138.0
240,Miyyav,Kannada,5.5,2002,NR,100.0
242,Lacchimdeviki O Lekkundi,Telugu,5.2,2016,13+,107.0
245,Salaam Namaste,Hindi,6.2,2005,13+,158.0
248,Prematho Mee Karthik,Telugu,6.6,2017,All,115.0
250,Overtake,Malayalam,6.8,2017,All,119.0
251,Short Term 12,English,8.0,2013,18+,96.0
252,People Like Us,English,7.1,2012,16+,114.0
254,UNTRACEABLE,English,6.2,2008,13+,96.0
255,Chaos Theory,Malayalam,6.6,2018,All,17.0
256,Maharasan,Tamil,6.2,1993,NR,144.0
258,Encounter - The Killing,Hindi,6.3,2002,13+,146.0
259,Agnipankh,Hindi,4.5,2004,All,134.0
261,Fantastic Beasts and Where to Find Them,Telugu,7.3,2016,13+,132.0
262,Rathaavara,Kannada,6.5,2015,13+,131.0
263,The Ninth Configuration,English,7.0,1980,18+,117.0
264,Sneham,Malayalam,6.8,1998,NR,134.0
265,2016 The End,Hindi,5.8,2017,13+,121.0
266,Beautiful Boy,English,7.3,2018,18+,120.0
267,Rocket Singh Salesman of the Year,Hindi,7.5,2009,13+,154.0
268,Aparajito,Bengali,8.4,2017,13+,93.0
269,Sivakasi,Tamil,5.3,2005,All,175.0
270,Big Game,Tamil,5.4,2015,16+,87.0
271,Terminator Genisys,English,6.3,2015,13+,125.0
272,Unrelated,English,6.8,2007,NR,95.0
273,Welcome,Hindi,6.9,2007,13+,149.0
274,Gangs of Wasseypur Part 1,Hindi,8.2,2012,18+,161.0
276,GAMBIT,English,5.7,2013,13+,89.0
278,Rajavinte Makan,Malayalam,7.6,1986,NR,128.0
282,Mahanati (Telugu),Telugu,8.5,2018,All,170.0
283,Yatra (Malayalam),Malayalam,8.2,2019,All,125.0
284,Cat in the Hat,English,4.0,2003,7+,81.0
285,Kirdar E Sardar,Punjabi,7.2,2017,13+,136.0
286,Alvin and the Chipmunks: The Squeakquel,English,4.5,2009,All,88.0
287,Touring Talkies,English,7.7,2020,13+,52.0
289,Gold,Hindi,7.3,2018,13+,145.0
290,Baap Re Baap Dokyala Taap,Marathi,6.0,2008,All,140.0
291,Rapture-Palooza,English,5.2,2013,18+,84.0
294,C.B.I. Shankar,Kannada,7.7,1989,NR,130.0
295,Billa No. 786,Hindi,4.5,2001,NR,140.0
296,Darna Mana Hai,Hindi,6.3,2003,18+,116.0
297,Vivaha Bhojanambu,Telugu,7.7,1988,NR,138.0
298,Hear No Evil,English,5.1,1993,18+,96.0
299,Homefront,Telugu,6.5,2013,18+,96.0
300,Bobbili Brahmanna,Telugu,5.4,1984,NR,122.0
301,Hum Ho Gaye Aap Ke,Hindi,4.2,2001,13+,157.0
303,Okkadu,Telugu,8.0,2003,NR,155.0
304,The Collection,English,6.1,2012,18+,77.0
310,Bazaar,Kannada,5.9,2019,13+,147.0
311,It Happened One Christmas,English,6.2,1977,13+,110.0
313,Silly Fellows,Telugu,6.0,2018,All,123.0
314,Kaya Hiner Kahini,Bengali,6.9,1973,NR,113.0
316,Chitchor,Hindi,7.5,1976,All,102.0
318,Hit (The First Case),Telugu,7.7,2020,13+,128.0
319,Srinivasa Kalyanam,Hindi,6.1,2018,All,122.0
320,Shuddh Desi Romance,Hindi,5.8,2013,13+,126.0
322,The Bongs Again,Bengali,5.5,2017,13+,116.0
323,Mettukudi,Tamil,6.6,1996,All,135.0
324,Touch Chesi Chudu,Telugu,4.8,2018,13+,141.0
326,Zenda,Marathi,7.0,2009,13+,121.0
329,Padmaavat,Telugu,7.0,2018,13+,162.0
333,Looper,English,7.4,2012,18+,114.0
334,Sahasam Swasaga Sagipo,Telugu,6.9,2016,13+,136.0
335,Mujhse Fraaandship Karoge,Hindi,6.9,2011,13+,104.0
336,Thavamai Thavamirunthu,Tamil,7.8,2005,All,204.0
