"ID","MOVIE_NAME","LANGUAGE","IMBD_RATING","YEAR_OF_RELEASE","MATURITY_RATING","MINUTES"
385,"Roaring Currents","English",7.1,2014,"18+",105
387,"K.G.F: Chapter 1 (Hindi)","Hindi",8.2,2018,"13+",154
388,"Ek Unad Divas","Marathi",8.3,2005,"All",91
389,"Yatra (Telugu)","Telugu",8.2,2019,"All",125
390,"Sagaa","Tamil",5.9,2019,"13+",119
391,"Ishq Garaari","Punjabi",5.6,2013,"13+",125
393,"Charlie and the Chocolate Factory","English",6.6,2005,"All",114
394,"Kalikkoottukar","Malayalam",3.5,2019,"All",144
396,"Hangover : A Mistake of Last Peg","Kannada",7.1,2019,"13+",99
398,"Shakthi","Telugu",6.4,2019,"All",143
399,"Koondukkili","Tamil",7.6,1994,"NR",104
401,"The Taking of Tiger Mountain","English",6.4,2014,"18+",137
402,"Zid","Hindi",4.4,2014,"18+",128
406,"Patel Sir","Telugu",5.6,2017,"13+",129
408,"Madmast Barkhaa","Hindi",3.6,2015,"NR",102
409,"Bobby","Malayalam",7,2017,"NR",140
410,"Spark: A Space Tail","English",4.5,2017,"7+",88
411,"Kuch Tum Kaho Kuch Hum Kahein","Hindi",5.6,2002,"All",172
412,"Inception","Hindi",8.8,2010,"13+",148
413,"Stripper","English",5.9,1986,"18+",90
414,"Jugni Yaaran Di","Punjabi",4.9,2019,"13+",115
416,"Just Let Go","English",6.8,2015,"16+",106
417,"Dracula Sir","Bengali",7.2,2020,"13+",125
419,"Drive Angry","Hindi",5.4,2011,"18+",100
420,"Fresh Dressed","English",6.6,2015,"18+",82
422,"Journey 2: The Mysterious Island","Hindi",5.8,2012,"All",94
426,"Man on a Ledge","English",6.6,2012,"13+",102
427,"Slovo House","English",8.1,2020,"13+",81
430,"Al Mallu","Malayalam",4.1,2020,"All",128
431,"Upstream Color","English",6.7,2013,"13+",96
432,"Desh Re Joya Dada Pardesh Joya","Gujarati",7.4,1998,"All",164
433,"Rush Hour 2","Hindi",6.6,2001,"18+",90
434,"Adhipathi","Telugu",5.4,2001,"NR",151
435,"Bangaru Bullodu","Telugu",5.7,1993,"All",153
437,"Paattinte Palazhy","Malayalam",4.4,2010,"All",130
438,"Oohalu Gusagusalade","Telugu",7.7,2014,"All",131
439,"Deck the Halls","English",5,2006,"13+",92
441,"Fera Feri Hera Pheri","Gujarati",7.4,2018,"13+",143
443,"Lechmi","Malayalam",4.9,2017,"18+",149
444,"Anthony Kaun Hai","Hindi",5.2,2006,"13+",122
445,"A Call to Spy","Hindi",6.3,2020,"16+",124
446,"Astro Boy","English",6.3,2009,"7+",93
450,"Born To Race : Fast Track","Hindi",5.3,2014,"16+",97
452,"Kempe Gowda","Kannada",7.1,2011,"NR",140
453,"The Prince and Me","English",5.9,2004,"7+",110
454,"Har Har Byomkesh","Bengali",6.8,2017,"13+",113
455,"Dilliwala Rajakumaran","Malayalam",5.9,1996,"NR",108
456,"Bombhaat","Telugu",6.4,2020,"16+",132
458,"Sadhuram 2","Tamil",6.8,2016,"13+",92
459,"Chakra","Bengali",8.7,2006,"NR",122
460,"Just a Sigh","English",6.4,2013,"7+",100
462,"Nil Battey Sannata","Hindi",8.3,2016,"NR",104
464,"The Raid: Redemption","Telugu",7.6,2012,"18+",97
465,"Final Destination 5","Telugu",5.8,2011,"18+",91
467,"The Courier","Tamil",4.8,2019,"18+",99
468,"Daredevil","English",5.3,2003,"18+",103
469,"It Felt Like Love","English",5.7,2013,"NR",82
470,"High School 2","Telugu",5.4,2011,"NR",105
471,"Surya","Bengali",5.7,2017,"13+",141
474,"Journey","Kannada",6.3,2011,"NR",120
475,"Dora And The Lost City Of Gold","English",6.1,2019,"7+",102
476,"Royal Bengal Rahasya","Bengali",7.2,2017,"13+",107
480,"Ubiquity","English",6.6,2020,"13+",55
481,"Superman Returns","Tamil",6,2006,"All",154
483,"Chokher Bali","Bengali",7,2003,"13+",149
484,"Clash Of The Titans","English",5.8,2010,"13+",106
485,"Jhoothi Shaan","Hindi",5.2,1991,"NR",139
486,"Khabardar","Marathi",6.9,2005,"All",150
487,"Hero No. 1","Hindi",6.1,1997,"NR",130
488,"Churchill","English",6.1,2017,"16+",104
490,"Marte Dam Tak","Hindi",4.8,1987,"All",125
492,"Abhoyer Biye","Bengali",6.2,2017,"13+",127
493,"Anhonee","Hindi",7.2,1972,"All",127
494,"Sullu","Malayalam",6.6,2019,"All",102
495,"City Of Gold - Mumbai 1982","Hindi",6.8,2010,"13+",144
496,"Devdas","Bengali",7.6,2005,"All",140
